continent,country,country_code
Africa,Algeria,DZA
Africa,Angola,AGO
Africa,Benin,BEN
Africa,Botswana,BWA
Africa,Burkina,BFA
Africa,Burundi,BDI
Africa,Cameroon,CMR
Africa,Cape Verde,CPV
Africa,Central African Republic,CAF
Africa,Chad,TCD
Africa,Comoros,COM
Africa,Congo,COG
Africa,"Congo, Democratic Republic of",COD
Africa,Djibouti,DJI
Africa,Egypt,EGY
Africa,Equatorial Guinea,GNQ
Africa,Eritrea,ERI
Africa,Ethiopia,ETH
Africa,Gabon,GAB
Africa,Gambia,GMB
Africa,Ghana,GHA
Africa,Guinea,GIN
Africa,Guinea-Bissau,GNB
Africa,Ivory Coast,CIV
Africa,Kenya,KEN
Africa,Lesotho,LSO
Africa,Liberia,LBR
Africa,Libya,LBY
Africa,Madagascar,MDG
Africa,Malawi,MWI
Africa,Mali,MLI
Africa,Mauritania,MRT
Africa,Mauritius,MUS
Africa,Morocco,MAR
Africa,Mozambique,MOZ
Africa,Namibia,NAM
Africa,Niger,NER
Africa,Nigeria,NGA
Africa,Rwanda,RWA
Africa,Sao Tome and Principe,STP
Africa,Senegal,SEN
Africa,Seychelles,SYC
Africa,Sierra Leone,SLE
Africa,Somalia,SOM
Africa,South Africa,ZAF
Africa,South Sudan,SSD
Africa,Sudan,SDN
Africa,Swaziland,SWZ
Africa,Tanzania,TZA
Africa,Togo,TGO
Africa,Tunisia,TUN
Africa,Uganda,UGA
Africa,Zambia,ZMB
Africa,Zimbabwe,ZWE
Asia,Afghanistan,AFG
Asia,Bahrain,BHR
Asia,Bangladesh,BGD
Asia,Bhutan,BTN
Asia,Brunei,BRN
Asia,Burma (Myanmar),MMR
Asia,Cambodia,KHM
Asia,China,CHN
Asia,East Timor,TLS
Asia,India,IND
Asia,Indonesia,IDN
Asia,Iran,IRN
Asia,Iraq,IRQ
Asia,Israel,ISR
Asia,Japan,JPN
Asia,Jordan,JOR
Asia,Kazakhstan,KAZ
Asia,"Korea, North",PRK
Asia,"Korea, South",KOR
Asia,Kuwait,KWT
Asia,Kyrgyzstan,KGZ
Asia,Laos,LAO
Asia,Lebanon,LBN
Asia,Malaysia,MYS
Asia,Maldives,MDV
Asia,Mongolia,MNG
Asia,Nepal,NPL
Asia,Oman,OMN
Asia,Pakistan,PAK
Asia,Philippines,PHL
Asia,Qatar,QAT
Asia,Russian Federation,RUS
Asia,Saudi Arabia,SAU
Asia,Singapore,SGP
Asia,Sri Lanka,LKA
Asia,Syria,SYR
Asia,Tajikistan,TJK
Asia,Thailand,THA
Asia,Turkey,TUR
Asia,Turkmenistan,TKM
Asia,United Arab Emirates,ARE
Asia,Uzbekistan,UZB
Asia,Vietnam,VNM
Asia,Yemen,YEM
Europe,Albania,ALB
Europe,Andorra,AND
Europe,Armenia,ARM
Europe,Austria,AUT
Europe,Azerbaijan,AZE
Europe,Belarus,BLR
Europe,Belgium,BEL
Europe,Bosnia and Herzegovina,BIH
Europe,Bulgaria,BGR
Europe,Croatia,HRV
Europe,Cyprus,CYP
Europe,Czech Republic,CZE
Europe,Denmark,DNK
Europe,Estonia,EST
Europe,Finland,FIN
Europe,France,FRA
Europe,Georgia,GEO
Europe,Germany,DEU
Europe,Greece,GRC
Europe,Hungary,HUN
Europe,Iceland,ISL
Europe,Ireland,IRL
Europe,Italy,ITA
Europe,Latvia,LVA
Europe,Liechtenstein,LIE
Europe,Lithuania,LTU
Europe,Luxembourg,LUX
Europe,Macedonia,MKD
Europe,Malta,MLT
Europe,Moldova,MDA
Europe,Monaco,MCO
Europe,Montenegro,MNE
Europe,Netherlands,NLD
Europe,Norway,NOR
Europe,Poland,POL
Europe,Portugal,PRT
Europe,Romania,ROU
Europe,San Marino,SMR
Europe,Serbia,SRB
Europe,Slovakia,SVK
Europe,Slovenia,SVN
Europe,Spain,ESP
Europe,Sweden,SWE
Europe,Switzerland,CHE
Europe,Ukraine,UKR
Europe,United Kingdom,GBR
Europe,Vatican City,VAT
North America,Antigua and Barbuda,ATG
North America,Bahamas,BHS
North America,Barbados,BRB
North America,Belize,BLZ
North America,Canada,CAN
North America,Costa Rica,CRI
North America,Cuba,CUB
North America,Dominica,DMA
North America,Dominican Republic,DOM
North America,El Salvador,SLV
North America,Grenada,GRD
North America,Guatemala,GTM
North America,Haiti,HTI
North America,Honduras,HND
North America,Jamaica,JAM
North America,Mexico,MEX
North America,Nicaragua,NIC
North America,Panama,PAN
North America,Saint Kitts and Nevis,KNA
North America,Saint Lucia,LCA
North America,Saint Vincent and the Grenadines,VCT
North America,Trinidad and Tobago,TTO
North America,United States,USA
Australia and Oceania,Australia,AUS
Australia and Oceania,Fiji,FJI
Australia and Oceania,Kiribati,KIR
Australia and Oceania,Marshall Islands,MHL
Australia and Oceania,Micronesia,FSM
Australia and Oceania,Nauru,NRU
Australia and Oceania,New Zealand,NZL
Australia and Oceania,Palau,PLW
Australia and Oceania,Papua New Guinea,PNG
Australia and Oceania,Samoa,WSM
Australia and Oceania,Solomon Islands,SLB
Australia and Oceania,Tonga,TON
Australia and Oceania,Tuvalu,TUV
Australia and Oceania,Vanuatu,VUT
South America,Argentina,ARG
South America,Bolivia,BOL
South America,Brazil,BRA
South America,Chile,CHL
South America,Colombia,COL
South America,Ecuador,ECU
South America,Guyana,GUY
South America,Paraguay,PRY
South America,Peru,PER
South America,Suriname,SUR
South America,Uruguay,URY
South America,Venezuela,VEN
