country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,country_code,continent
Afghanistan,0.0,3.95,7.9,7.9,7.9,7.9,7.9,7.9,11.4,11.4,11.4,11.4,11.4,6.4,6.4,AFG,Asia
Angola,21.4,26.8,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,28.6,28.6,28.6,28.6,AGO,Africa
Albania,50.7,50.7,50.7,50.7,50.7,47.1,40.0,40.0,40.0,43.6,43.6,47.1,47.1,53.6,53.6,ALB,Europe
Andorra,,,,,,,,,,,,,,,,AND,Europe
United Arab Emirates,30.7,35.0,39.3,37.5,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,39.3,39.3,39.3,ARE,Asia
Argentina,50.0,50.0,50.0,53.5,57.1,57.1,57.1,57.1,57.1,50.0,50.0,50.0,53.6,53.6,53.6,ARG,South America
Armenia,32.1,32.1,32.1,32.1,32.1,32.1,32.1,28.6,28.6,28.6,28.6,28.6,46.4,53.6,50.0,ARM,Europe
Antigua and Barbuda,,,,,,,,,,,,,,,,ATG,North America
Australia,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,85.7,AUS,Australia and Oceania
Austria,82.1,80.3,78.6,78.6,78.6,78.6,82.1,75.0,78.6,78.6,78.6,82.1,78.6,78.6,75.0,AUT,Europe
Azerbaijan,7.9,7.9,7.9,12.9,17.9,17.9,17.9,17.9,21.4,21.4,21.4,21.4,21.4,32.1,28.6,AZE,Europe
Burundi,32.9,32.9,32.9,32.9,32.9,32.9,25.7,22.1,22.1,4.3,7.9,4.3,4.3,0.7,0.0,BDI,Africa
Belgium,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,85.7,89.3,89.3,82.1,78.6,BEL,Europe
Benin,64.3,64.3,64.3,64.3,64.3,64.3,64.3,60.7,53.6,57.1,53.6,53.6,57.1,57.1,53.6,BEN,Africa
Burkina,17.9,17.9,17.9,26.8,35.7,35.7,32.1,35.7,28.6,42.9,42.9,42.9,42.9,27.1,23.6,BFA,Africa
